Mimosa_ID,Longitude,Latitude,Distance_to_Road,Distance_to_Water,Light
plot 01_A1,19.115355,109.085813,1.03,499.4,1
plot 01_A2,19.115349,109.085825,1.71,498,1
plot 01_A3,19.115332,109.085822,3.6,498.3,1
plot 01_A4,19.115334,109.085808,3.39,499.8,1
plot 01_A5,19.115348,109.085807,1.79,499.9,1
plot 02_A1,19.11488,109.088196,0.14,145.2,1
plot 02_A2,19.11486,109.088196,0.36,145.3,1
plot 02_A3,19.11487,109.088211,0.13,145.7,1
plot 03_A1,19.113694,109.088475,0.75,153,1
plot 03_A2,19.113697,109.088471,0.17,151.3,1
plot 03_A3,19.113704,109.088451,0.25,154.3,1
plot 03_A4,19.113718,109.088466,0.6,152.6,1
plot 03_A5,19.113702,109.088475,0.72,151.4,1
plot 04_A1,19.121788,109.089778,0.52,316.1,1
plot 04_A2,19.121803,109.089767,0.18,315,1
plot 04_A3,19.121794,109.08977,0.24,316.5,1
plot 04_A4,19.121793,109.08976,0.3,314.5,1
plot 04_A5,19.121791,109.089784,0.54,315.5,1
plot 05_A1,19.119892,109.095129,0.86,163.5,1
plot 05_A2,19.11989,109.0951,0.49,165,1
plot 05_A3,19.119899,109.095106,0.85,164.2,2
plot 05_A4,19.119872,109.095114,0.32,164.4,1
plot 05_A5,19.119888,109.095118,0.42,164.3,1
plot 06_A1,19.118246,109.093603,0.15,121.9,1
plot 06_A2,19.11822,109.093607,0.33,121.7,1
plot 06_A3,19.118242,109.093597,0.37,123.5,1
plot 07_A1,19.120227,109.093182,0.76,118.1,1
plot 07_A2,19.120219,109.093212,0.48,119.7,1
plot 07_A3,19.120229,109.093217,0.71,118.2,1
plot 07_A4,19.120238,109.0932,0.33,17.4,2
plot 07_A5,19.120229,109.093201,0.56,120.2,1
plot 08_A1,19.116224,109.091897,0.77,125.1,1
plot 08_A2,19.116207,109.091902,0.62,125.8,1
plot 08_A3,19.116221,109.091885,0.95,123.7,1
plot 09_A1,19.11488,109.088196,0.14,45.2,1
plot 09_A2,19.11486,109.088196,0.36,45.3,1
plot 09_A3,19.11487,109.088211,0.13,45.7,1
plot 10_A1,19.118987,109.089332,0.56,184.2,1
plot 10_A2,19.11897,109.089326,0.73,184.1,1
plot 10_A3,19.118967,109.089328,0.97,184.6,1
plot 10_A4,19.118909,109.089303,0.51,189.1,1
plot 11_A1,19.084072,109.126628,0.49,265.9,1
plot 11_A2,19.084074,109.126621,0.79,263,1
plot 11_A3,19.084075,109.12663,0.18,263.9,1
plot 11_A4,19.084068,109.12663,0.97,265.2,1
plot 12_A1,19.089668,109.133601,0.57,343.6,1
plot 12_A2,19.089664,109.133598,0.29,341.5,1
plot 12_A3,19.089672,109.133606,0.83,344.1,1
plot 12_A4,19.08967,109.133603,0.41,340.2,1
plot 13_A1,19.08277,109.12768,0.44,216.7,1
plot 13_A2,19.082764,109.127687,0.27,214.4,1
